relation_type_id,relation,label_sr,label_en,definition_sr,definition_en,subject_type,object_type,inverse_label_sr,inverse_label_en,symmetric,time_applicability,source_id_required,evidence_required,status,note
RT001,authorOf,аутор дела,author of,Личност је аутор или коаутор публикације.,A person is an author or co-author of a publication.,Person,Publication,има аутора,has author,false,not_applicable,true,true,pilot_v1,Један однос се уноси за сваког аутора публикације.
RT002,concernsPerson,обрађује личност,concerns person,"Публикација непосредно или садржински значајно обрађује личност као предмет, актера или носиоца анализираног процеса.","A publication directly or substantively discusses a person as a subject, actor or agent in the process under study.",Publication,Person,обрађен у публикацији,discussed in publication,false,not_applicable,true,true,pilot_v1,Не користити за успутно помињање личности без аналитичке улоге.
RT003,concernsInstitution,обрађује установу,concerns institution,"Публикација садржински значајно обрађује установу, њену историјску улогу или деловање у анализираном процесу.","A publication substantively discusses an institution, its historical role or its activity in the process under study.",Publication,Institution,обрађена у публикацији,discussed in publication,false,not_applicable,true,true,pilot_v1,"Само издавач, позајмљивач предмета или чувар грађе није аутоматски предмет публикације."
RT004,concernsPlace,обрађује место,concerns place,"Публикација садржински значајно обрађује место као простор догађаја, процеса, маршруте, сећања или истраживања.","A publication substantively discusses a place as a setting of events, processes, routes, memory or research.",Publication,Place,обрађено у публикацији,discussed in publication,false,not_applicable,true,true,pilot_v1,Не користити за место које се јавља само у пореклу појединачног предмета или успутној напомени.
RT005,publishedBy,објавио издавач,published by,Публикацију је објавила наведена установа.,A publication was issued by the stated institution.,Publication,Institution,издавач публикације,publisher of publication,false,optional,true,true,pilot_v1,Година издања остаје у запису публикације; временски податак у односу је опциони.
RT006,affiliatedWith,повезан са установом,affiliated with,Личност има документовану професионалну или другу институционалну повезаност са установом.,A person has a documented professional or other institutional affiliation with an institution.,Person,Institution,има повезану личност,has affiliated person,false,optional,true,true,pilot_v1,"Користити када прецизнији однос, као memberOf или heldOfficeIn, није утврђен."
RT007,memberOf,члан установе,member of,"Личност је формални члан установе, тела или организације.","A person is a formal member of an institution, body, or organization.",Person,Institution,има члана,has member,false,optional,true,true,pilot_v1,Чланство мора бити изричито потврђено извором.
RT008,heldOfficeIn,обављао функцију у,held office in,"Личност је обављала именовану јавну, црквену или институционалну функцију у установи.","A person held a named public, ecclesiastical, or institutional office in an institution.",Person,Institution,имао функционера,had officeholder,false,optional,true,true,pilot_v1,Назив функције уносити у evidence_note или засебно поље односа.
RT009,commanded,командовао,commanded,Личност је командовала војном јединицом или другом хијерархијски организованом установом.,A person commanded a military unit or another hierarchically organized institution.,Person,Institution,био под командом,was commanded by,false,optional,true,true,pilot_v1,Објекат мора бити институција или војна јединица са сопственим ID-јем.
RT010,founded,основао,founded,Личност је учествовала у формалном оснивању установе.,A person participated in the formal founding of an institution.,Person,Institution,основао га,was founded by,false,optional,true,true,pilot_v1,Не изједначавати оснивање са каснијим покровитељством или обновом.
RT011,restored,обновио,restored,"Личност је финансирала, организовала или спровела документовану обнову установе или сакралног комплекса.","A person financed, organized, or carried out a documented restoration of an institution or sacred complex.",Person,Institution,обновљен заслугом,was restored by,false,optional,true,true,pilot_v1,"Примењиво, на пример, на обнову манастира; врсту обнове описати у напомени."
RT012,patronOf,покровитељ установе,patron of,"Личност је имала документовану ктиторску, добротворску или покровитељску улогу према установи.","A person had a documented founder, benefactor, or patron role toward an institution.",Person,Institution,имао покровитеља,had patron,false,optional,true,true,pilot_v1,"Користити за трајнију покровитељску улогу, не за једнократну посету."
RT013,visited,посетио,visited,Личност је у документованом тренутку посетила место.,A person visited a place at a documented time.,Person,Place,био посећен од,was visited by,false,required,true,true,pilot_v1,Датум или бар година посете морају бити наведени када су познати.
RT014,bornIn,рођен у,born in,Личност је рођена у наведеном месту.,A person was born in the stated place.,Person,Place,место рођења,birthplace of,false,optional,true,true,pilot_v1,Не користити за завичај или место порекла ако место рођења није потврђено.
RT015,diedAt,умро или погинуо код,died at,Личност је умрла или погинула на наведеном месту или у његовој непосредној близини.,A person died or was killed at the stated place or in its immediate vicinity.,Person,Place,место смрти,place of death of,false,optional,true,true,pilot_v1,"У evidence_note разликовати смрт, погибију и приближну локацију, нпр. „погинуо код Љубића”."
RT016,buriedAt,сахрањен у или код,buried at,"Личност је сахрањена у установи, на локалитету или у месту.","A person was buried at an institution, site, or place.",Person,Institution|Place,место сахране,burial place of,false,optional,true,true,pilot_v1,За црквене и манастирске гробове предност има ID установе; место се користи када је прецизније.
RT017,locatedIn,налази се у,located in,Установа је смештена у наведеном месту или географској целини.,An institution is located in the stated place or geographic area.,Institution,Place,садржи установу,contains institution,false,optional,true,true,pilot_v1,За сложене локације може постојати више односа различите просторне прецизности.
RT018,preservesSource,чува извор,preserves source,Установа физички или архивски чува историјски извор.,An institution physically or archivally preserves a historical source.,Institution,Source,чува се у,preserved by,false,optional,true,true,pilot_v1,Тип Source биће уведен када се региструју „Књига кумства” и други примарни извори.
RT019,commemorates,комеморише личност,commemorates,"Установа, војна јединица, место или меморијални простор организовано чува сећање на личност.","An institution, military unit, place, or memorial setting formally commemorates a person.",Institution|Place,Person,комеморисан у или од,commemorated by,false,optional,true,true,pilot_v1,"Облик комеморације, празник или споменик описати у evidence_note."
RT020,spouseOf,супружник,spouse of,Две личности биле су у браку.,Two persons were married to each other.,Person,Person,супружник,spouse of,true,optional,true,true,pilot_v1,Симетричан однос: у relations.csv довољан је један ред за брачни пар.
RT021,descendantOf,потомак,descendant of,Личност је биолошки или династички потомак друге личности.,A person is a biological or dynastic descendant of another person.,Person,Person,предак,ancestor of,false,not_applicable,true,true,pilot_v1,"Степен сродства, ако је важан, навести у evidence_note; не користити за симболичко политичко наслеђе."
RT022,usesSource,користи извор,uses source,Публикација користи наведени примарни или периодички извор као истраживачку грађу.,A publication uses the stated primary or periodical source as research evidence.,Publication,Source,коришћен као извор у,used as source in,false,not_applicable,true,true,pilot_v1,"Нужна допуна речника после увођења sources.csv; разликовати од preservesSource, који означава установу која физички или архивски чува извор."
